facility_id,name,service_type,address,ward_code,longitude,latitude,source,source_file,source_id,verification_status,geometry
HC_00360,Kamraj Nagar UPHC,uphc,"Near Eastern Express Highway ,Ramabai Colony, Ghatkopar (East) Mumbai -75",N,72.8846,19.1315,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,113,source_verified,POINT Z (72.8846 19.1315 0)
HC_00361,Kirol Village UPHC,uphc,"Parsiwadi , near Ganesh Maidan Opp. Municipal Disp. Ghatkopar (W) - 86",N,72.9,19.09,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,114,source_verified,POINT Z (72.9 19.09 0)
HC_00362,Matoshri Ramabai Thackeray Maternity Home UPHC,uphc,"Matoshri Ramabai Thackeray Maternity Home, Near Ganesh Maidan ,Poddar mill compund , Ghatkopar (West) Mumbai -86",N,72.91,19.09,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,115,source_verified,POINT Z (72.91 19.09 0)
HC_00363,Vikhroli Park Site UPHC,uphc,"Behind Jankalyan Bank , Vikroli Park Site, Road No.1 Vikroli West ,Mumbai -79",N,72.91,19.1,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,116,source_verified,POINT Z (72.91 19.1 0)
HC_00364,Ramabai Colony UPHC,uphc,"Near Eastern Express Highway ,Ramabai Colony, Ghatkopar (East) Mumbai -75",N,72.92,19.08,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,117,source_verified,POINT Z (72.92 19.08 0)
HC_00365,Pant Nagar UPHC,uphc,"Near Municipal School No.3,Pant Nagar ,Ghatkopar (East), Mumbai-75",N,72.92,19.09,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,118,source_verified,POINT Z (72.92 19.09 0)
HC_00366,Sarvodaya Nagar UPHC,uphc,"LBS Road, Near Sarvodaya Hospital Ghatkopar (W) Mumbai 400086",N,72.8846,19.1315,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,119,source_verified,POINT Z (72.8846 19.1315 0)
HC_00367,Sonapur UPHC (Only HP),uphc,"Tulshetpada HP. --Municipal School, Tulshetpada, Bhai Guptadas Road , Bhandup (W)",S,72.93,19.15,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,120,source_verified,POINT Z (72.93 19.15 0)
HC_00368,Savitribai Jyotiba Phule Maternity Home UPHC,uphc,"Motichand Premises Savitribai Phule Marg , L.B.S Road , Bhandup (West) , Mumbai -78",S,72.93,19.15,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,121,source_verified,POINT Z (72.93 19.15 0)
HC_00369,Tulshetpada UPHC,uphc,"Tulshetpada Municipal school , Tulshetpada,Bhai Guptadas road , Bhandup (west) mumbai -78",S,72.9306,19.1627,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,122,source_verified,POINT Z (72.9306 19.1627 0)
HC_00370,Shivaji Talao UPHC,uphc,"Ganga Vidhyalay School, Konkon nagar , ,S.P.S Road , Bhandup west -Mumbai -28",S,72.93,19.15,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,123,source_verified,POINT Z (72.93 19.15 0)
HC_00371,Hiranandani UPHC,uphc,"Shiv Krupa Apt , Below Nehal hospital ,Padmavati road , IIT market , Powai -Mumbai 76",S,72.92,19.12,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,124,source_verified,POINT Z (72.92 19.12 0)
HC_00372,Dr.Babasaheb Ambedkar Maternity Home UPHC,uphc,"Tagore nagar Disp.Dr. Babasaheb Ambedkar Mun. Mat. Home, Ground No.7, Tagore Nagar, Vikhroli (East)",S,72.94,19.12,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,125,source_verified,POINT Z (72.94 19.12 0)
HC_00373,Maharshi Karve UPHC,uphc,"Kanjur Marg (E), Nehru Nagar, BMC Market Building 1st Floor",S,72.9372,19.1511,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,126,source_verified,POINT Z (72.9372 19.1511 0)
HC_00374,Subhash Nagar UPHC,uphc,"LBS Mat Home, kukreja Complex Bhandup Villege road , Bhandup (W)",S,72.8846,19.1315,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,127,source_verified,POINT Z (72.8846 19.1315 0)
HC_00375,Kanjur Village UPHC,uphc,"Behind Kanjur marg police station, Kanjurmarg (East ) Mumbai -42",S,72.94,19.13,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,128,source_verified,POINT Z (72.94 19.13 0)
HC_00376,Ishwar Nagar UPHC,uphc,"Municipal school building , Near MSEB office , Iswar Nagar , Bhandup (West) ,Mumbai -78",S,72.94,19.14,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,129,source_verified,POINT Z (72.94 19.14 0)
HC_00377,LBS Marg MH UPHC,uphc,"Near S.G. Pawar International school,besides kuckreja complex,L.B S.Road , Bhandup West - Mumbai -78",S,72.93,19.15,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,130,source_verified,POINT Z (72.93 19.15 0)
HC_00378,Tembhipada UPHC,uphc,"Nardas Nagar, Tembhipada Mun. Disp., Tembhi Pada (W), Mum - 78",S,72.93,19.15,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,131,source_verified,POINT Z (72.93 19.15 0)
HC_00379,Smt.Shyamkunwarbai Jatashankar Dosa Chanchani Maternity Home UPHC,uphc,"Panch Rashta , M.G.Road , Mulund west , Mumbai -80",T,72.95,19.18,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,132,source_verified,POINT Z (72.95 19.18 0)
HC_00380,Mulund Colony UPHC,uphc,"Shivaji chowk ,Jhulelal Road ,Mulund colony, Mulund (west) Mumbai -80",T,72.94,19.17,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,133,source_verified,POINT Z (72.94 19.17 0)
