station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name
MM-078,Adarsh Nagar (Mumbai),आदर्श नगर (मुंबई),Line 6,Elevated,Side,Under construction,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Lower Oshiwara",Metro,,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Lower Oshiwara",19.140617,72.8312817,MATCHED,"State Bank of India, State bank of India, Link Road, Adarsh Nagar, Jogeshwari West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400053, India"
MM-079,Airport Colony,विमानतळ वसाहत,Line 7,Elevated,Side,Under construction,–,Metro,,–,19.1049416,72.8558663,MATCHED,"New Airport Colony, Andheri East, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-080,Amar Mahal Junction,अमर महल जंक्शन,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0651692,72.8990601,MATCHED,"Amar Mahal Junction Flyover, Jyoti Nagar, Chheda Nagar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-081,Anik Nagar Bus Depot,आणिक नगर बस डेपो,Line 11,At-grade,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-082,Anjur Phata,अंजूर फाटा,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-083,Apollo,अपोलो,Line 8,Elevated,Side,Under construction,–,Metro,,–,19.0663722,72.8328501,MATCHED,"Apollo, 466, 14th Road, Linking Road Shopping area, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-084,Baiganwadi,बैगनवाडी,Line 8,Elevated,Side,Under construction,–,Metro,,–,19.0618979,72.9249694,MATCHED,"Baiganwadi, Plot No.11, Shivaji Nagar, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400043, India"
MM-085,Bale,बाळे,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-086,Balkum Naka,बाळकुम नाका,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-087,Bandra,वांद्रे,Line 2B,Elevated,Side,Under construction,Transfer station to Bandra railway station,Metro,,Transfer station to Bandra railway station,19.0549792,72.8402203,MATCHED,"Bandra, Gurunanak Marg (Turner Road), Lal Mati (Lal Mitti), Khar, H/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-088,Bhandup,भांडुप,Line 4,Elevated,Side,Under construction,Transfer station to Bhandup railway station,Metro,,Transfer station to Bhandup railway station,19.142757,72.9376543,MATCHED,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
MM-089,Bhandup Mahapalika,भांडुप महापालिका,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1387605,72.9307295,MATCHED,"Bhandup Mahapalika Station, Lal Bahadur Shastri Marg, Bhandup East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India"
MM-090,Bhendi Bazaar,भेंडी बाजार,Line 11,Underground,Island,Under construction,–,Metro,,–,18.9579427,72.8317816,MATCHED,"Bhendi Bazaar, Bhuleshwar, C Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400003, India"
MM-091,Bhiwandi,भिवंडी,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-092,BPT Hospital,बी.पी.टी. रुग्णालय,Line 11,Underground,Island,Under construction,–,Metro,,–,19.0128573,72.8614703,MATCHED,"BPT Hospital, LM Nadkarni Road, Sadbhavana Nagar, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400031, India"
MM-093,Byculla,भायखळा,Line 11,Underground,Island,Under construction,Transfer station to Byculla railway station,Metro,,Transfer station to Byculla railway station,18.9766219,72.8327936,MATCHED,"Byculla, N M Joshi Marg, Byculla West, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400027, India"
