pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
7687039,1,0,1,1,0,10,30,0,0,1,24,24,24,24,2,2,2,2,24,24,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,4,4,4,4,4,4,4,4,4,2,2,15,0,236,0,0,0,30,0,18,1,1,3
2273406,2,0,2,1,0,6,7,0,0,1,2,2,2,2,2,2,2,2,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,4,0,21,0,0,0,0,1,5,1,1,1
8281293,1,0,1,1,0,8,11,0,0,1,20,20,0,0,1,1,0,0,20,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,29,0,40,0,3,1,3,2,5,1,2,2
5165692,1,0,1,1,0,7,20,0,0,1,3,3,2,2,1,1,1,1,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,10,0,0,1,0,0,1,1,2,3
9932468,2,0,1,5,0,7,10,0,0,1,4,4,8,8,1,1,1,1,16,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,1,24,0,2,2,1,4,4,1,2,3
6064754,2,0,1,1,0,9,10,0,0,1,7,7,7,7,1,1,0,0,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,1,1,1,4,4,4,4,4,2,1,1,0,0,6,0,2,0,2,2,1,1,2,2
6227372,2,0,1,1,0,14,30,0,0,1,13,13,18,18,1,1,1,1,14,14,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,50,0,50,0,0,13,3,1,1,3
9140268,1,0,1,1,0,5,11,0,0,1,8,8,2,2,2,2,1,1,8,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,2,1,1,1,4,4,4,4,4,4,4,4,4,2,2,0,0,7,0,0,1,0,1,6,1,2,2
2381905,1,0,1,1,0,5,18,0,0,1,4,4,3,3,1,1,1,1,9,10,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,15,2,30,0,0,15,2,2,3,1,2,2
9580494,2,0,1,1,0,4,4,0,0,1,3,3,2,2,1,1,1,1,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,2,2
5975717,1,0,1,6,0,7,8,0,0,1,4,4,4,4,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,15,0,0,0,1,0,1,1,1,3
2721295,1,0,1,1,0,8,12,0,0,1,9,9,5,5,1,1,1,1,10,10,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,50,0,12,1,12,8,2,1,2,2
