pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
2606914,25,3,22,0,25,0,0,0,22,3,0,0,16,9,12,0,0,2,13,9,1,0,0,0,0,2,0,19,1,2,1,0,0,0,0,0,0
2607501,33,11,22,0,32,1,0,0,32,1,0,0,7,26,33,0,0,0,0,33,0,0,0,0,0,0,0,23,1,1,8,0,0,0,0,0,0
2611777,10,0,10,0,10,0,0,0,10,0,0,0,5,5,8,0,0,0,4,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8
2616549,25,10,15,0,25,0,0,0,25,0,0,0,7,18,13,1,1,1,9,11,0,2,0,0,0,0,1,20,0,0,0,1,0,3,0,0,0
2629216,35,5,30,0,35,0,0,0,35,0,0,1,20,14,31,0,14,2,11,0,8,0,0,0,0,0,0,29,1,3,2,0,0,0,0,0,0
2631058,34,8,26,0,29,3,0,2,34,0,0,1,14,19,34,0,1,11,5,0,17,0,0,0,0,5,0,27,1,0,0,1,0,0,0,0,2
2653062,9,1,8,0,8,0,0,1,9,0,0,1,7,1,9,0,0,1,4,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,1,0,0
2655944,129,21,108,0,129,0,0,0,125,3,1,2,53,74,120,38,31,1,19,10,10,17,0,3,0,4,0,88,7,25,2,2,0,1,0,0,15
2661394,36,11,25,0,16,6,3,6,36,0,0,1,10,25,3,0,20,0,16,0,0,0,0,0,0,7,0,29,0,0,0,0,0,0,0,0,0
2662840,4,2,2,0,4,0,0,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
2678354,21,15,6,0,18,1,0,2,21,0,0,1,11,9,20,3,5,2,7,0,4,0,0,0,0,7,0,12,1,0,0,1,0,0,0,0,1
2679548,8,2,6,0,8,0,0,0,6,2,0,0,6,2,1,1,0,0,7,0,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,1
2690736,23,5,18,0,23,0,0,0,23,0,0,0,14,9,1,0,0,0,23,0,0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0
2714218,2,1,1,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
